Start,End,Sleep Quality,Regularity,Heart rate (bpm),Steps,Alarm mode,Air Pressure (Pa),City,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Did snore,Snore time,Weather temperature (°C),Weather type
2017-04-01 02:02:03,2017-04-01 10:13:17,80%,84%,58,2012,No alarm,98.6,Birmingham,69.4,29474.4,27214.7,196.5,,,FALSE,0.0,0.0,No weather
2017-04-02 02:04:25,2017-04-02 10:38:42,82%,86%,89,8151,No alarm,99.6,Birmingham,75.9,30857.0,30651.3,205.7,,,FALSE,0.0,0.0,No weather
2017-04-03 00:50:41,2017-04-03 08:45:59,83%,80%,71,1155,Normal,100.5,Birmingham,55.3,28517.8,26806.7,190.1,2017-04-03 08:30:00,2017-04-03 09:00:00,FALSE,0.0,8.9,Partly cloudy
2017-04-04 00:32:07,2017-04-04 08:02:01,80%,87%,70,5379,No alarm,100.1,Birmingham,47.7,26994.2,22855.1,180.0,,,FALSE,0.0,0.0,No weather
2017-04-05 00:52:04,2017-04-05 08:01:22,65%,88%,83,1740,No alarm,101.1,Birmingham,85.6,25758.8,21379.8,171.7,,,FALSE,0.0,0.0,No weather
2017-04-06 01:15:01,2017-04-06 07:57:57,75%,95%,67,2284,No alarm,101.2,Birmingham,40.0,24176.2,19179.8,161.2,,,FALSE,0.0,0.0,No weather
2017-04-06 23:25:10,2017-04-07 12:18:46,83%,81%,80,2678,No alarm,100.9,Birmingham,82.6,46415.9,43785.7,309.4,,,FALSE,0.0,0.0,No weather
2017-04-09 01:52:55,2017-04-09 09:42:54,77%,53%,75,7908,No alarm,100.0,Birmingham,70.5,28199.8,25379.8,2820.0,,,FALSE,0.0,0.0,No weather
2017-04-10 00:08:48,2017-04-10 09:08:03,65%,69%,69,2073,No alarm,100.1,Birmingham,142.8,32355.2,29011.8,1617.8,,,FALSE,0.0,0.0,No weather
2017-04-11 01:20:07,2017-04-11 08:00:33,58%,81%,72,2508,No alarm,100.8,Birmingham,106.7,24026.0,21703.5,160.2,,,FALSE,0.0,0.0,No weather
2017-04-12 00:59:11,2017-04-12 08:03:38,70%,86%,74,3195,No alarm,100.2,Birmingham,74.5,25467.0,19185.2,3820.1,,,FALSE,0.0,0.0,No weather
2017-04-13 00:11:59,2017-04-13 08:05:16,80%,90%,62,1300,No alarm,99.8,Birmingham,70.4,28397.1,23853.6,189.3,,,FALSE,0.0,0.0,No weather
2017-04-14 00:07:28,2017-04-14 07:08:46,73%,94%,57,503,Normal,99.8,Birmingham,63.7,25277.9,20390.8,168.5,2017-04-14 07:00:00,2017-04-14 07:30:00,FALSE,0.0,5.5,Partly cloudy
2017-04-14 23:10:50,2017-04-15 08:00:25,90%,90%,74,1577,Normal,99.4,Birmingham,67.2,31775.2,24678.7,1906.5,2017-04-15 08:30:00,2017-04-15 09:00:00,FALSE,0.0,0.0,No weather
2017-04-16 01:57:52,2017-04-16 08:47:20,79%,82%,76,1729,Normal,100.2,Birmingham,33.7,24567.4,20718.5,163.8,2017-04-16 09:00:00,2017-04-16 09:30:00,FALSE,0.0,0.0,No weather
2017-04-18 23:56:41,2017-04-19 10:51:21,100%,66%,63,451,No alarm,102.7,Bangor,39.3,39280.2,33911.9,261.9,,,FALSE,0.0,0.0,No weather
2017-04-20 01:58:18,2017-04-20 08:09:53,54%,61%,73,4441,No alarm,102.8,Bangor,102.2,22295.0,19396.7,2080.9,,,FALSE,0.0,0.0,No weather
2017-04-21 01:41:01,2017-04-21 09:37:47,79%,73%,101,443,No alarm,101.3,Birmingham,72.3,28605.9,23742.9,1621.0,,,FALSE,0.0,0.0,No weather
2017-04-22 01:03:34,2017-04-22 09:08:14,84%,79%,78,2541,No alarm,101.0,Birmingham,62.9,29079.7,25590.2,193.9,,,FALSE,0.0,0.0,No weather
2017-04-22 23:42:05,2017-04-23 09:12:38,71%,88%,76,3467,No alarm,100.8,Birmingham,126.2,34232.9,30581.4,1597.5,,,FALSE,0.0,0.0,No weather
2017-04-24 01:09:48,2017-04-24 10:23:36,93%,86%,0,738,No alarm,100.0,,65.9,33228.4,30459.4,221.5,,,FALSE,0.0,0.0,No weather
2017-04-25 00:45:24,2017-04-25 09:36:25,87%,85%,0,4516,No alarm,99.4,,77.2,31861.9,27082.6,212.4,,,FALSE,0.0,0.0,No weather
2017-04-26 01:25:40,2017-04-26 09:14:10,83%,86%,0,2499,No alarm,99.7,,57.2,28110.1,23237.7,1218.1,,,FALSE,0.0,0.0,No weather
2017-04-27 03:10:22,2017-04-27 09:09:06,63%,89%,0,1891,No alarm,100.0,,60.9,21524.7,16932.8,2726.5,,,FALSE,0.0,0.0,No weather
2017-04-28 01:22:27,2017-04-28 12:19:02,95%,78%,0,5029,No alarm,99.7,,60.6,39395.2,34799.1,262.6,,,FALSE,0.0,0.0,No weather
2017-04-30 00:35:17,2017-04-30 08:24:07,88%,60%,0,5273,No alarm,98.8,,44.4,28129.9,23910.4,187.5,,,FALSE,0.0,0.0,No weather
2017-04-30 23:49:31,2017-05-01 09:05:29,91%,74%,0,1194,No alarm,97.9,,71.0,33358.0,25574.4,1779.1,,,FALSE,0.0,0.0,No weather
2017-05-02 02:23:22,2017-05-02 10:42:09,82%,77%,0,2486,No alarm,99.6,,77.3,29927.1,26834.6,199.5,,,FALSE,0.0,0.0,No weather
2017-05-03 23:52:57,2017-05-04 09:09:39,73%,66%,0,9717,No alarm,100.5,,119.1,33401.9,30841.1,222.7,,,FALSE,0.0,0.0,No weather
2017-05-04 23:28:10,2017-05-05 08:53:06,90%,80%,0,4596,No alarm,100.6,,73.4,33896.8,30281.1,1468.9,,,FALSE,0.0,0.0,No weather
2017-05-06 00:35:18,2017-05-06 08:48:03,95%,92%,0,2531,No alarm,99.7,,37.3,29565.0,25524.4,197.1,,,FALSE,0.0,0.0,No weather
2017-05-06 22:52:45,2017-05-07 09:06:59,81%,89%,0,835,No alarm,99.8,,96.9,36853.3,30342.6,3071.1,,,FALSE,0.0,0.0,No weather
2017-05-08 00:44:57,2017-05-08 09:04:53,91%,86%,0,3851,No alarm,100.5,,52.6,29995.2,28095.5,200.0,,,FALSE,0.0,0.0,No weather
2017-05-09 00:18:31,2017-05-09 07:03:05,76%,82%,0,5674,No alarm,100.9,,44.1,24274.0,18610.1,1213.7,,,FALSE,0.0,0.0,No weather
2017-05-09 23:56:00,2017-05-10 08:25:26,76%,83%,0,6725,No alarm,99.6,,97.1,30566.1,27203.9,203.8,,,FALSE,0.0,0.0,No weather
2017-05-10 23:29:22,2017-05-11 08:24:30,95%,87%,0,5742,No alarm,98.2,,60.1,32108.0,27719.9,1177.3,,,FALSE,0.0,0.0,No weather
2017-05-12 00:06:45,2017-05-12 09:19:21,82%,90%,0,4073,No alarm,97.5,,93.8,33156.1,28845.8,221.0,,,FALSE,0.0,0.0,No weather
2017-05-13 00:18:56,2017-05-13 09:02:18,67%,93%,0,1359,No alarm,98.0,,131.4,31402.1,29308.6,209.3,,,FALSE,0.0,0.0,No weather
2017-05-16 00:34:20,2017-05-16 07:38:18,80%,86%,0,1348,No alarm,100.1,,44.7,25437.3,22045.7,1611.0,,,FALSE,0.0,0.0,No weather
2017-05-18 01:13:31,2017-05-18 10:53:25,70%,67%,0,2357,No alarm,99.2,,132.0,34794.0,32706.3,232.0,,,FALSE,0.0,0.0,No weather
2017-05-19 02:20:14,2017-05-19 09:43:07,82%,74%,0,1463,No alarm,99.1,,50.4,26573.1,23118.6,1505.8,,,FALSE,0.0,0.0,No weather
2017-05-20 01:24:11,2017-05-20 08:39:18,75%,82%,0,1766,No alarm,99.3,,67.0,26106.7,22103.7,174.0,,,FALSE,0.0,0.0,No weather
2017-05-21 01:31:19,2017-05-21 08:42:03,60%,88%,0,3859,No alarm,100.2,,115.8,25843.6,21880.9,172.3,,,FALSE,0.0,0.0,No weather
2017-05-22 01:17:31,2017-05-22 10:59:12,77%,87%,0,1119,No alarm,99.9,,114.9,34901.0,27106.5,232.7,,,FALSE,0.0,0.0,No weather
2017-05-23 01:59:52,2017-05-23 10:03:52,92%,88%,0,2917,No alarm,99.6,,43.0,29040.3,23038.7,193.6,,,FALSE,0.0,0.0,No weather
2017-05-24 00:48:54,2017-05-24 09:12:43,90%,83%,0,2562,No alarm,100.5,,60.3,30229.6,24889.0,1309.9,,,FALSE,0.0,0.0,No weather
2017-05-25 03:44:57,2017-05-25 10:12:18,64%,79%,0,1050,No alarm,100.5,,79.0,23241.3,19367.8,154.9,,,FALSE,0.0,0.0,No weather
2017-05-26 01:51:08,2017-05-26 11:22:25,74%,75%,0,1880,No alarm,100.1,,122.0,34277.8,28450.6,228.5,,,FALSE,0.0,0.0,No weather
2017-05-27 00:54:49,2017-05-27 09:51:19,94%,74%,0,9535,No alarm,99.4,,65.7,32190.4,28005.6,214.6,,,FALSE,0.0,0.0,No weather
2017-05-29 01:58:40,2017-05-29 09:19:18,59%,83%,0,4548,No alarm,99.5,,129.6,26437.8,21943.4,176.3,,,FALSE,0.0,0.0,No weather
2017-05-29 23:55:38,2017-05-30 09:44:31,98%,83%,0,4533,No alarm,99.2,,55.9,35333.3,30622.2,1766.7,,,FALSE,0.0,0.0,No weather
2017-05-31 03:21:44,2017-05-31 10:07:54,56%,74%,0,3064,No alarm,100.1,,122.0,24369.9,20876.9,162.5,,,FALSE,0.0,0.0,No weather
2017-06-02 01:38:32,2017-06-02 10:42:52,92%,74%,0,2611,No alarm,100.8,,73.6,32659.4,28631.4,217.7,,,FALSE,0.0,0.0,No weather
2017-06-03 23:54:48,2017-06-04 10:01:03,82%,80%,0,1853,No alarm,99.5,,102.4,36375.6,34920.6,1455.0,,,FALSE,0.0,0.0,No weather
2017-06-05 02:29:33,2017-06-05 11:17:11,69%,74%,0,1108,No alarm,99.2,,136.3,31657.8,30285.9,211.1,,,FALSE,0.0,0.0,No weather
2017-06-06 03:07:14,2017-06-06 11:49:01,76%,79%,0,2376,No alarm,96.7,,115.6,31307.0,28385.0,208.7,,,FALSE,0.0,0.0,No weather
2017-06-10 00:36:40,2017-06-10 11:13:40,79%,0%,0,4367,No alarm,99.5,,112.7,38219.8,33378.6,254.8,,,FALSE,0.0,0.0,No weather
2017-06-11 03:11:13,2017-06-11 10:08:57,69%,70%,0,613,No alarm,99.3,,86.5,25063.7,20970.0,167.1,,,FALSE,0.0,0.0,No weather
2017-06-12 02:09:56,2017-06-12 10:48:56,76%,78%,0,1346,No alarm,99.2,,113.3,31139.9,26676.5,207.6,,,FALSE,0.0,0.0,No weather
2017-06-13 03:11:17,2017-06-13 10:10:14,78%,81%,0,7691,No alarm,99.9,,52.9,25136.8,19439.1,167.6,,,FALSE,0.0,0.0,No weather
2017-06-15 01:18:49,2017-06-15 07:51:49,79%,76%,0,1137,No alarm,100.4,,27.5,23580.0,19414.2,864.6,,,FALSE,0.0,0.0,No weather
2017-06-16 00:44:47,2017-06-16 10:21:59,100%,70%,0,3724,No alarm,101.1,,52.2,34632.4,27475.1,230.9,,,FALSE,0.0,0.0,No weather
2017-06-17 01:34:27,2017-06-17 09:01:01,76%,78%,0,3395,No alarm,100.7,,76.4,26794.4,23489.7,178.6,,,FALSE,0.0,0.0,No weather
2017-06-18 00:58:21,2017-06-18 09:34:08,84%,82%,0,3896,No alarm,100.6,,87.0,30947.7,27440.3,206.3,,,FALSE,0.0,0.0,No weather
2017-06-19 01:28:35,2017-06-19 10:28:17,77%,87%,0,8823,No alarm,100.2,,119.1,32381.7,32165.8,215.9,,,FALSE,0.0,0.0,No weather
2017-06-20 01:47:17,2017-06-20 09:54:29,63%,90%,0,3250,No alarm,99.9,,143.3,29232.0,24944.7,194.9,,,FALSE,0.0,0.0,No weather
2017-06-21 00:32:01,2017-06-21 10:54:42,96%,87%,0,3048,No alarm,99.9,,65.9,37360.8,32254.9,249.1,,,FALSE,0.0,0.0,No weather
2017-06-22 01:41:18,2017-06-22 10:35:30,88%,87%,0,1571,No alarm,99.0,,86.6,32052.0,25855.3,213.7,,,FALSE,0.0,0.0,No weather
2017-06-23 00:26:58,2017-06-23 10:19:46,97%,85%,0,1860,No alarm,99.4,,64.6,35568.5,29166.2,2371.2,,,FALSE,0.0,0.0,No weather
2017-06-24 03:22:21,2017-06-24 10:07:42,58%,83%,0,6632,No alarm,99.3,,119.4,24320.9,21321.3,162.1,,,FALSE,0.0,0.0,No weather
2017-06-25 01:39:53,2017-06-25 11:44:37,86%,78%,0,2463,No alarm,99.1,,95.4,36283.5,33985.6,241.9,,,FALSE,0.0,0.0,No weather
2017-06-26 02:23:50,2017-06-26 10:15:02,69%,76%,0,2151,No alarm,100.7,,116.7,28272.0,26198.7,188.5,,,FALSE,0.0,0.0,No weather
2017-06-27 01:04:57,2017-06-27 10:37:13,100%,80%,70,3487,No alarm,100.2,Bangor,45.0,34335.8,29986.6,1831.2,,,FALSE,0.0,0.0,No weather
2017-06-28 02:40:31,2017-06-28 10:42:25,84%,84%,64,7876,No alarm,98.2,Birmingham,71.6,28914.7,22553.5,192.8,,,FALSE,0.0,0.0,No weather
2017-06-29 01:45:41,2017-06-29 10:53:53,92%,88%,64,3642,No alarm,97.6,Birmingham,78.9,32891.5,28725.3,219.3,,,FALSE,0.0,0.0,No weather
2017-06-30 02:23:57,2017-06-30 11:48:46,90%,88%,62,2770,No alarm,98.0,Birmingham,84.3,33889.0,27224.2,2146.3,,,FALSE,0.0,0.0,No weather
2017-07-01 01:37:14,2017-07-01 08:37:10,77%,82%,83,2405,No alarm,99.3,Birmingham,56.6,25196.7,19821.4,1931.7,,,FALSE,0.0,0.0,No weather
2017-07-02 00:39:49,2017-07-02 09:10:13,86%,80%,81,2253,No alarm,99.7,Birmingham,81.4,30623.4,28377.7,204.2,,,FALSE,0.0,0.0,No weather
2017-07-03 00:35:32,2017-07-03 10:18:50,100%,81%,81,1181,No alarm,100.0,Birmingham,44.6,34998.0,31264.8,1866.6,,,FALSE,0.0,0.0,No weather
2017-07-04 01:48:31,2017-07-04 10:58:53,84%,87%,77,3863,No alarm,100.1,Birmingham,99.6,33022.2,29169.6,220.1,,,FALSE,0.0,0.0,No weather
2017-07-05 03:02:27,2017-07-05 10:49:44,76%,88%,78,5224,No alarm,99.9,Birmingham,90.1,28037.7,25514.3,841.1,,,FALSE,0.0,0.0,No weather
2017-07-06 01:17:46,2017-07-06 10:03:57,56%,84%,79,4038,No alarm,99.8,Birmingham,182.4,31570.6,28834.5,210.5,,,FALSE,0.0,0.0,No weather
2017-07-07 02:00:12,2017-07-07 10:25:20,80%,86%,71,661,No alarm,99.6,Birmingham,100.1,30307.4,26973.5,202.0,,,FALSE,0.0,0.0,No weather
2017-07-08 02:07:39,2017-07-08 08:12:39,71%,84%,0,644,No alarm,99.8,Birmingham,41.9,21899.7,19782.7,146.0,,,FALSE,0.0,0.0,No weather
2017-07-12 01:35:33,2017-07-12 09:59:41,94%,0%,71,2069,No alarm,100.3,Bangor,53.4,30247.8,27323.8,201.7,,,FALSE,0.0,0.0,No weather
2017-07-13 00:13:45,2017-07-13 07:50:29,92%,71%,76,3098,No alarm,100.7,Korčula,28.8,27404.1,23658.9,2557.7,,,FALSE,0.0,0.0,No weather
2017-07-13 23:14:24,2017-07-14 07:53:37,95%,81%,66,11603,No alarm,100.6,Korčula,59.7,31152.8,30945.1,207.7,,,FALSE,0.0,0.0,No weather
2017-07-14 23:13:15,2017-07-15 08:04:58,98%,87%,66,10184,No alarm,100.4,Korčula,55.0,31902.9,28287.2,212.7,,,FALSE,0.0,0.0,No weather
2017-07-16 00:38:41,2017-07-16 08:03:45,76%,93%,56,6538,No alarm,100.8,Korčula,76.7,26704.3,26526.3,178.0,,,FALSE,0.0,0.0,No weather
2017-07-17 00:13:41,2017-07-17 07:34:25,73%,93%,74,8909,No alarm,101.3,Korčula,85.7,26444.5,20803.0,2644.4,,,FALSE,0.0,0.0,No weather
2017-07-17 23:36:33,2017-07-18 08:09:52,98%,90%,73,11854,No alarm,101.4,Korčula,44.3,30798.4,30593.0,205.3,,,FALSE,0.0,0.0,No weather
2017-07-18 23:59:22,2017-07-19 07:51:37,85%,92%,77,10760,No alarm,101.4,,64.4,28335.2,23990.5,188.9,,,FALSE,0.0,0.0,No weather
2017-07-20 02:17:41,2017-07-20 10:51:39,98%,80%,76,5106,No alarm,99.8,Bangor,45.4,30837.8,27651.3,925.1,,,FALSE,0.0,0.0,No weather
2017-07-21 01:38:15,2017-07-21 08:54:17,79%,76%,108,775,No alarm,98.8,Birmingham,60.0,26161.6,23545.4,1308.1,,,FALSE,0.0,0.0,No weather
2017-07-23 02:28:45,2017-07-23 11:43:49,97%,74%,78,2560,No alarm,99.0,Birmingham,61.6,33304.3,28308.7,2886.4,,,FALSE,0.0,0.0,No weather
2017-07-24 01:55:29,2017-07-24 09:11:26,78%,72%,66,147,No alarm,99.2,Birmingham,63.4,26156.7,21884.5,2877.2,,,FALSE,0.0,0.0,No weather
2017-07-25 00:49:21,2017-07-25 11:48:30,100%,72%,69,2314,No alarm,101.2,Bangor,35.3,39549.1,33221.3,263.7,,,FALSE,0.0,0.0,No weather
2017-07-26 02:23:08,2017-07-26 10:10:14,52%,72%,73,2102,No alarm,100.0,Bangor,172.9,28026.3,22421.0,1027.6,,,FALSE,0.0,0.0,No weather
2017-07-27 01:20:41,2017-07-27 12:16:27,99%,72%,80,4430,No alarm,98.5,Birmingham,56.9,39346.0,32788.3,262.3,,,FALSE,0.0,0.0,No weather
2017-07-28 01:27:57,2017-07-28 08:33:38,77%,72%,76,2897,No alarm,98.5,Birmingham,60.3,25541.4,19581.8,170.3,,,FALSE,0.0,0.0,No weather
2017-07-29 01:24:36,2017-07-29 10:55:50,100%,74%,74,2283,No alarm,99.7,Bangor,24.3,34274.6,29933.1,228.5,,,FALSE,0.0,0.0,No weather
2017-07-30 03:30:03,2017-07-30 10:26:04,78%,75%,73,830,No alarm,99.4,Bangor,47.5,24960.9,20467.9,1248.0,,,FALSE,0.0,0.0,No weather
2017-07-31 01:20:32,2017-07-31 11:25:09,100%,77%,0,1729,No alarm,98.7,Birmingham,50.8,36277.0,30351.8,967.4,,,FALSE,0.0,0.0,No weather
2017-08-04 00:09:24,2017-08-04 07:30:32,87%,0%,0,2220,No alarm,100.0,Exeter,31.7,26468.9,24880.8,1588.1,,,FALSE,0.0,0.0,No weather
2017-08-05 03:24:15,2017-08-05 07:33:18,52%,73%,0,5884,No alarm,99.4,Birmingham,16.3,14942.7,10509.7,1394.7,,,FALSE,0.0,0.0,No weather
2017-08-06 01:40:00,2017-08-06 12:39:21,100%,58%,0,3344,No alarm,101.3,Bangor,48.9,39560.7,35472.7,263.7,,,FALSE,0.0,0.0,No weather
2017-08-07 01:19:30,2017-08-07 09:58:47,91%,63%,0,208,No alarm,100.9,Bangor,68.9,31156.5,25444.4,1246.3,,,FALSE,0.0,0.0,No weather
2017-08-08 02:34:56,2017-08-08 10:28:36,91%,68%,0,2138,No alarm,100.6,Bangor,39.0,28419.4,21693.5,2273.6,,,FALSE,0.0,0.0,No weather
2017-08-09 02:21:43,2017-08-09 11:00:48,85%,85%,0,1053,No alarm,100.9,Bangor,85.9,31144.6,27822.5,207.6,,,FALSE,0.0,0.0,No weather
2017-08-10 02:27:12,2017-08-10 10:43:11,93%,92%,0,1988,No alarm,101.9,Bangor,47.7,29759.5,25494.0,198.4,,,FALSE,0.0,0.0,No weather
2017-08-11 02:29:41,2017-08-11 11:16:40,65%,95%,0,2487,No alarm,101.3,Bangor,151.4,31619.4,25927.9,1686.4,,,FALSE,0.0,0.0,No weather
2017-08-12 02:40:06,2017-08-12 11:04:11,82%,96%,0,2132,No alarm,100.6,Bangor,88.8,30244.9,25304.9,201.6,,,FALSE,0.0,0.0,No weather
2017-08-13 03:07:46,2017-08-13 12:27:04,100%,92%,0,2207,No alarm,101.3,Bangor,27.2,33558.1,30426.0,1230.5,,,FALSE,0.0,0.0,No weather
2017-08-14 02:19:54,2017-08-14 13:58:53,0%,87%,0,1229,No alarm,100.9,Bangor,0.0,0.0,35508.6,2795.9,,,TRUE,0.0,0.0,No weather
2017-08-15 00:54:24,2017-08-15 10:17:05,89%,74%,0,667,No alarm,99.3,Birmingham,84.7,33761.9,30498.3,1463.0,,,FALSE,0.0,0.0,No weather
2017-08-16 01:07:22,2017-08-16 07:18:37,49%,70%,0,1700,No alarm,99.9,Birmingham,137.7,22275.0,18339.8,1410.8,,,FALSE,0.0,0.0,No weather
2017-08-17 02:34:25,2017-08-17 09:44:55,85%,66%,0,14096,No alarm,99.9,Bangor,30.0,25829.3,20319.0,1894.1,,,FALSE,0.0,0.0,No weather
2017-08-19 02:58:40,2017-08-19 12:02:45,100%,73%,0,24412,No alarm,100.5,Bangor,33.5,32644.8,29162.7,870.5,,,FALSE,0.0,0.0,No weather
2017-08-20 03:10:43,2017-08-20 10:24:52,83%,81%,0,2905,No alarm,101.3,Bangor,39.2,26049.1,22228.6,173.7,,,FALSE,0.0,0.0,No weather
2017-08-21 03:34:52,2017-08-21 11:42:17,92%,85%,0,2237,No alarm,101.2,Bangor,43.4,29244.7,26905.2,195.0,,,FALSE,0.0,0.0,No weather
2017-08-22 03:03:33,2017-08-22 10:03:10,81%,84%,0,3586,No alarm,101.1,Bangor,37.0,25176.7,19637.8,2182.0,,,FALSE,0.0,0.0,No weather
2017-08-23 01:46:58,2017-08-23 10:41:56,100%,84%,0,3341,No alarm,100.3,Bangor,45.0,32097.8,26962.1,214.0,,,FALSE,0.0,0.0,No weather
2017-08-24 18:56:19,2017-08-25 04:27:03,100%,-6%,0,4797,No alarm,100.9,Badung,44.0,34243.5,30590.8,2282.9,,,FALSE,0.0,0.0,No weather
2017-08-25 16:06:46,2017-08-26 01:33:21,39%,-21%,0,15694,No alarm,101.0,Badung,587.3,33995.1,26856.1,226.6,,,FALSE,0.0,0.0,No weather
2017-08-26 16:10:54,2017-08-27 02:55:58,82%,70%,0,14981,No alarm,100.9,Badung,128.8,38703.5,36639.3,258.0,,,FALSE,0.0,0.0,No weather
2017-08-27 19:26:08,2017-08-28 03:53:15,86%,68%,0,20872,No alarm,100.8,Badung,79.1,30427.2,26877.3,202.8,,,FALSE,0.0,0.0,No weather
2017-08-28 18:01:52,2017-08-29 01:56:52,0%,75%,0,734,No alarm,100.9,Badung,0.0,0.0,27929.6,570.0,,,TRUE,0.0,0.0,No weather
2017-08-29 18:50:20,2017-08-30 01:51:37,52%,77%,0,10230,No alarm,100.9,Badung,210.3,25276.9,23760.3,168.5,,,FALSE,0.0,0.0,No weather
2017-08-30 18:07:00,2017-08-31 02:16:15,90%,85%,0,5017,No alarm,101.0,Badung,41.4,29355.8,25246.0,195.7,,,FALSE,0.0,0.0,No weather
2017-08-31 17:30:36,2017-08-31 23:53:34,62%,86%,0,10631,No alarm,99.0,Gianyar,100.2,22977.7,21216.1,153.2,,,FALSE,0.0,0.0,No weather
2017-09-01 16:38:26,2017-09-02 00:04:55,74%,86%,0,11561,No alarm,99.0,Gianyar,92.3,26788.4,25538.3,178.6,,,FALSE,0.0,0.0,No weather
